"","rn","meanImp","medianImp","minImp","maxImp","normHits","decision"
"192","V1_Nintendo.1",4.48809090182391,4.45214563814033,2.49927897728613,6.48199768408328,0.828282828282828,"Confirmed"
"193","`V1_Nintendo EAD`",6.28660975012763,6.22907523957676,4.61434606920813,7.92361945535267,0.98989898989899,"Confirmed"
"194","`V1_Nintendo R&D1`",1.77228204356328,1.82365604031683,0.131887190512626,3.19531286194085,0.0101010101010101,"Rejected"
"195","V1_NIS.1",-1.20151662149973,-1.21226109981879,-2.86925719709386,0.5576185176464,0,"Rejected"
"196","`V1_Obsidian Entertainment`",-1.72270473643115,-1.91886198979778,-3.55958356693078,0.289538413231733,0,"Rejected"
"197","`V1_Omega Force`",1.71606278388254,1.77767257837247,-1.0691850759798,3.68831387961458,0,"Rejected"
"198","V1_other.1",17.7187409034052,17.7738263648196,15.0902117128588,20.7124662056583,1,"Confirmed"
"199","`V1_Paradox  Interactive.1`",1.11132078528579,1.14905445649353,-0.202915256237881,2.0773908345616,0,"Rejected"
"200","`V1_PES Productions `",2.7523128163667,2.81962560875808,0.925728909492125,4.36511446403495,0.161616161616162,"Rejected"
"201","V1_PlatinumGames",-1.16092294942799,-1.01964088110562,-2.72571438183055,1.34831989245507,0,"Rejected"
"202","V1_Psygnosis.1",-2.02403350033517,-1.88943925112619,-3.59404103193193,0.210933344503522,0,"Rejected"
"203","`V1_Radical Entertainment`",-0.926711898034587,-0.733203006620439,-2.77619839947556,0.254015295954452,0,"Rejected"
"204","V1_Rare",2.63220673006624,2.59563648572029,0.15526972404084,4.46928163764548,0.101010101010101,"Rejected"
"205","V1_Rebellion",-0.469721496245211,-0.55895405859192,-2.05345338100308,1.0063095095921,0,"Rejected"
"206","V1_SEGA.1",0.704125311880225,0.530803872835243,-0.624119758970069,2.05809372214268,0,"Rejected"
"207","`V1_SEGA-AM2`",-0.906585743863428,-0.818277280398606,-2.73405802459443,0.102964923142295,0,"Rejected"
"208","`V1_Shin'en`",-1.69548593091104,-1.6903273888238,-3.19329382711543,0.141577298636621,0,"Rejected"
"209","`V1_SIE Japan Studio`",-1.35736723551581,-1.3954870524805,-2.37022608723294,0.112624258401892,0,"Rejected"
"210","`V1_SIE London Studio`",-0.280404772637017,-0.553696148466053,-1.58992596644946,1.67758741498134,0,"Rejected"
"211","`V1_SNK [1978-2001].1`",3.39723922490367,3.34408772001406,0.604011569528968,5.15962652396411,0.565656565656566,"Confirmed"
"212","`V1_SNK Playmore`",1.48432208516668,1.25816963225475,-0.49684673333319,3.24109689583296,0,"Rejected"
"213","`V1_Sonic Team`",-1.36211734728711,-1.37770002282432,-3.54129740960812,0.554416500447713,0,"Rejected"
"214","`V1_Sony Computer Entertainment.1`",-1.63509095975079,-1.94316661961866,-2.95770447872481,0.996865400925199,0,"Rejected"
"215","V1_Spike",0.949098282205912,1.17772170330022,-1.24502487831307,2.50178668680571,0,"Rejected"
"216","`V1_Sports Interactive (SI Interactive)`",3.55241966824888,3.5879926906864,1.72202128003524,4.74684103631965,0.636363636363636,"Confirmed"
"217","V1_Square.1",1.35062984345689,1.35217643370644,-0.26004115581089,2.57406122773808,0,"Rejected"
"218","`V1_Square Enix.1`",0.720069815900662,0.688751406420116,-0.519686137194491,1.68931992561881,0,"Rejected"
"219","`V1_Sumo Digital`",0.471824307950475,0.585493665323254,-2.20046196397677,1.9706022238335,0,"Rejected"
"220","V1_Taito.1",1.59086907073827,1.49052108674802,0.706710925167683,3.47796695699518,0.0101010101010101,"Rejected"
