"","developer","publisher","Month","Year","age_rating","game_rating","Dreamcast","Wireless","Saturn","Android","iPad","iPhone","Arcade","GameCube","Genesis","Macintosh","PC","Nintendo","GameBoy","NES","PlayStation","Xbox","Wii","otherPlatform","Flight","Music","Simulation","Fighting","Platformer","Puzzle","Strategy","Adventure","RPG","Racing","Shooter","Sports","Action","otherGenre","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"71","Epic Games","Gathering of Developers (aka GOD Games)","June",2002," T",8.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,0,2,3,2,3,5,4,8
"72","other","other","March",2014," T",7.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,9,1,4,8,3,0,8,7,20
"73","other","Paradox  Interactive","August",2019," T",8.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,12,2,7,7,3,3,15,7,18
"74","other","other","April",2013," M",7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,6,1,7,5,5,4,9,9,14
"75","Volition","Deep Silver","August",2017," M",7.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,11,1,4,6,4,3,8,5,16
"76","other","Acclaim Entertainment","May",2002," T",9.4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,16,3,5,13,6,8,23,15,30
"77","other","other","January",1996," T",2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,2,0,0,1,1,3
"78","other","THQ","March",2001," T",4.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,7,2,5,4,2,3,6,4,15
"79","Namco","Namco","June",1995," E",7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,4,2,1,3,7,9,11
"80","other","other","November",2011," T",6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,5,2,4,2,3,4,4
"81","other","other","October",2013," T",3.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2
"82","other","Namco","January",2002," T",7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,9,0,4,7,1,4,9,7,11
"83","other","other","December",2000," E",8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,5,0,9,6,2,4,6,9,11
"84","other","other","January",2001," E",7.9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,4,2,2,5,4,7
"85","other","other","April",2000," E",3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,1,1,2,4,5
"86","Capcom","Capcom","November",1993,"E",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,1,1,0,3,2,3
"87","Argonaut Games","Sony Computer Entertainment","March",2001," E",6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,1,5,1,2,0,1,5,4
"88","other","Microsoft Game Studios","May",2010," T",8.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,25,1,9,17,7,9,25,26,39
"89","other","other","July",1997," E",7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,7,3,9,5,3,4,4,8,9
"90","SEGA","SEGA","August",1989," E",4.5,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,5,3,4,5,5,4,8,6,13
"91","other","THQ","September",2006," E10+",4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,3,4
"92","other","Take-Two Interactive ","May",1999," E",5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,2
"93","other","Ubisoft","April",2002," M",6.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,6,2,5,3,3,4,6,7,11
"94","other","Electronic Arts","June",2011," M",6.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,13,2,9,4,8,1,8,15,17
"95","other","Team17 Software","November",2010," T",6.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,3,3,13,3,5,0,9,17,10
"96","other","Hudson Soft","September",1989," E",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,3,0
"97","Hudson Soft","Hudson Soft","November",2008," E",7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,1,1,4
"98","other","other","October",2013," M",4.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,3,2,8,2,1,2,2,11,4
"99","Argonaut Games","Fox Interactive","October",2000," M",6.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,12,5,6,6,8,5,12,13,22
"100","SEGA","SEGA","December",1991," E10+",6.5,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,2,2,1,0,2,4,3
"101","other","SEGA","July",2007," T",5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,1,3,3,1,1,3,3,7
"102","other","Acclaim Entertainment","August",1996," M",8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,3,3,2
"103","other","other","June",2011," E10+",8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,3,3,1,2,1,5,5
"104","Creative Assembly","SEGA","October",2014," M",5.9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,12,2,4,5,2,2,17,8,18
"105","Monolith Productions","Sierra","October",2001," M",8.2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,1,4,3,1,2,11,5,12
"106","Rebellion","Sierra","November",2007," T",5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,13,5,6,9,7,9,10,13,14
"107","WayForward Technologies","SEGA","October",2011," T",8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,2,5,3,5,1,5,7,8
"108","other","Ubisoft","September",1999," E",7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,1,1,2,0,2,3
"109","other","Acclaim Entertainment","June",1997,"E",5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,1,3,5,2,3,7,4,8
"110","other","Acclaim Entertainment","May",1998," E",8.2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,2,1,1,3,2,8
"111","other","Acclaim Entertainment","April",1999," E",9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,1,1,1
"112","High Voltage Software","Acclaim Entertainment","March",2000," E",9.1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,1,1,4,4,5
"113","other","Acclaim Entertainment","March",2001," E",8.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,1,1,4,4,5
"114","Microsoft","Microsoft","March",2000," E",8.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,5,8,3,4,3,13,11,11
"115","Nintendo R&D1","Nintendo","August",1989," E",6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,2,1,5
"116","other","Atari","November",2008," M",7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,10,4,10,10,9,6,15,15,18
"117","other","Infogrames","September",2001," M",4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,4,1,5,4,3,1,10,11,19
"118","Obsidian Entertainment","SEGA","June",2010," M",6.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,9,1,9,4,5,3,8,12,12
"119","other","THQ","August",2003," T",6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,3,0,1,1,3,6
"120","other","Activision","March",2000," T",7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,3,3,5,1,2,4,2,5,3
"121","other","other","December",2007," E",2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,20,6,12,16,10,11,22,23,41
"122","other","other","November",2003," M",3.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,3,2,2,2,3,6,4
"123","other","other","November",2005," T",6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,2,5,3,4,2,5,4,13
"124","other","Electronic Arts","December",2000," M",9.4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,9,4,8,8,3,3,7,12,19
