"","game_name","developer","publisher","Month","Year","age_rating","game_rating","Dreamcast","Wireless","Saturn","Android","iPad","iPhone","Arcade","GameCube","Genesis","Macintosh","PC","Nintendo","GameBoy","NES","PlayStation","Xbox","Wii","otherPlatform","Flight","Music","Simulation","Fighting","Platformer","Puzzle","Strategy","Adventure","RPG","Racing","Shooter","Sports","Action","otherGenre","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"56","Ace Combat 6: Fires of Liberation","other","Bandai Namco Games","October","2007"," T",8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,11,1,4,4,7,16,11
"57","Ace Combat 7: Skies Unknown","other","Bandai Namco Games","January","2019"," T",7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,15,5,27,11,9,9,15,32,34
"58","Ace Combat Advance","other","Namco","February","2005"," E",4.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,5,2,1,2,5,8,8
"59","Ace Combat Assault Horizon","other","Bandai Namco Games","October","2011"," T",7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26,14,8,31,9,12,11,19,33,34
"61","Ace Combat Xi","other","other","TBA",NA,NA,8.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,1,0,0,1,4,2
"62","Ace Combat Zero: The Belkan War","other","Namco","April","2006"," T",8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,1,11,2,2,1,8,15,16
"63","Ace Combat: Joint Assault","other","Bandai Namco Games","August","2010"," T",6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,3,8,2,4,4,9,11,19
"64","Swingerz Golf","other","Eidos Interactive","October","2002"," E",6.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,2,4,5,4,3,4,7
"66","ActRaiser","other","other","November","1991"," E10+",7.3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,9,6,14,9,12,4,18,20,29
"67","ActRaiser 2","other","other","November","1993",NA,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,3,7,11,1,8,0,3,14,8
"71","Magnetica","other","Nintendo","June","2006",NA,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,3,1,1,1,0,2,3
"72","Activision Anthology","other","Activision","November","2002"," E",8.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,1,2,0,2,6
"74","Activision Hits Remixed","Digital Eclipse Software","Activision","November","2006"," E",8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,1,2,0,2,6
"75","Ultimate 8 Ball","other","THQ","June","1999"," E",8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,3,0,1,4,2,11
"77","Addiction Pinball","Team17 Software","other","May","1998"," E",8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,4,3,3
"78","Adidas Power Soccer","Psygnosis","Psygnosis","November","1997","E",7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,1,1,0,1,1,4
"80","Advance Wars","Intelligent Systems","Nintendo","September","2001"," E",9.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,18,6,12,10,8,6,19,21,36
"81","Advance Wars: Days of Ruin","Intelligent Systems","Nintendo","January","2008"," E10+",8.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,13,4,15,12,6,7,21,19,34
"82","Advance Wars: Dual Strike","Intelligent Systems","Nintendo","August","2005"," E",9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,9,4,12,8,4,3,14,17,24
"86","Adventure Pinball: Forgotten Island","other","Electronic Arts","March","2001"," E",6.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,4
"87","Adventure Time: Explore the Dungeon Because I Don't Know!","WayForward Technologies","D3 Publisher","November","2013"," E10+",3.5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,6,2,9,3,5,0,4,13,14
"88","Adventure Time: Pirates of the Enchiridion","Climax Studios","other","July","2018"," E10+",5.8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,18,7,12,17,11,10,34,24,67
"89","Adventures of Lolo","HAL Laboratory","other","April","1989"," E",8,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,10,4,8,11,6,4,10,10,24
"92","Aero Gauge","other","other","May","1998"," E",5.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,4,1,4,1,3,3,1,7,12
"94","Aero the Acrobat","other","Sunsoft","August","1993"," E",7.9,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,5,2,7,6,3,2,7,6,13
"95","Aero the Acrobat 2","other","Sunsoft","April","1994"," E",7,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,2,2,1,1,5,4,7
"98","AeroWings 2: Air Strike","other","Crave Entertainment","August","2000"," E",7.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,4
"100","Afro Samurai","Bandai Namco Games","other","January","2009"," M",6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,16,1,6,15,11,7,16,12,39
"101","After Burner Climax","SEGA","SEGA","April","2010"," E10+",7.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,2
"103","After Burner: Black Falcon","other","SEGA","March","2007"," T",7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,1,3,1,3,5,3
