"","game_name","developer","publisher","Month","Year","age_rating","game_rating","Dreamcast","Wireless","Saturn","Android","iPad","iPhone","Arcade","GameCube","Genesis","Macintosh","PC","Nintendo","GameBoy","NES","PlayStation","Xbox","Wii","otherPlatform","Flight","Music","Simulation","Fighting","Platformer","Puzzle","Strategy","Adventure","RPG","Racing","Shooter","Sports","Action","otherGenre","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"4240","Magic: The Gathering Online","other","other","June","2002"," T",7.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,18,2,5,7,5,6,24,13,51
"4241","Magical Drop","Data East","other","Japan",NA,NA,5,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,15,4,8,9,7,5,11,12,22
"4242","Magical Drop II","Unknown","other","released",NA,NA,7.2,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,15,4,8,9,7,5,11,12,22
"4243","Magical Drop Pocket","Data East","SNK [1978-2001]","November","1999",NA,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,15,4,8,9,7,5,11,12,22
"4245","Magical Starsign","other","Nintendo","October","2006"," E",7.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,16,4,12,12,6,7,21,16,36
"4246","Magical Tetris Challenge","Capcom","Capcom","January","1999"," E",7.8,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,12,7,12,6,10,6,12,19,22
"4247","Magician Lord","SNK [1978-2001]","SNK [1978-2001]","May","1990",NA,6.5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,11,4,8,8,4,7,7,10,15
"4248","Magician's Quest: Mysterious Times","other","Konami","May","2009"," E10+",7.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,2
"4249","Magicka","other","Paradox  Interactive","January","2011"," T",7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,8,4,14,5,4,5,7,19,18
"4250","Magicka 2","other","Paradox  Interactive","May","2015"," T",7.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,7,2,8,5,4,1,3,7,8
"4252","Magna Carta: Tears of Blood","other","Atlus","November","2005"," T",6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,8,2,9,8,6,5,13,18,14
"4255","Magnetica Twist","other","Nintendo","June","2008"," E",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,3,1,1,1,0,2,3
"4256","Magnetis","other","other","November","2009"," E",7.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,1,0,2,1,2,1
"4257","Magrunner: Dark Pulse","other","Focus Home Interactive","June","2013"," M",6.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4,3,5,4,5,2,5,9,17
"4259","Majesty 2: The Fantasy Kingdom Sim","other","Paradox  Interactive","September","2009"," T",7.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,10,5,10,5,3,4,12,12,21
"4261","Majesty: The Northern Expansion","other","Hasbro Interactive","March","2001"," E",7.8,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,8,1,1,3,2,3,11,4,20
"4262","Majin and the Forsaken Kingdom","other","Bandai Namco Games","November","2010"," T",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,6,2,7,4,4,3,9,7,13
"4263","Makai Kingdom: Chronicles of the Sacred Tome","NIS","NIS","N",NA,NA,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,7,3,15,5,6,2,7,13,13
"4272","Manhunt 2","other","Rockstar  Games","TBA",NA," AO",7.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,10,4,12,4,8,3,18,17,24
"4275","Mappy","Namco","Namco","released",NA,NA,7,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,3,2,1,4,2,8
"4276","Marble Madness","other","SEGA","N",NA,NA,5,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,12,2,3,7,4,4,11,8,29
"4277","Marble Saga: Kororinpa","Hudson Soft","Hudson Soft","March","2009"," E",6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,3,3,2,1,4,6,6
"4278","March of the Penguins","other","other","November","2006"," E",4.5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,5,2,3,4,5,1,11,5,13
"4279","Mario & Luigi: Bowser's Inside Story","other","Nintendo","September","2009"," E",9.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,7,3,6,3,7,2,9,7,13
"4280","Mario & Luigi: Dream Team","other","Nintendo","August","2013"," RP",8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,8,3,5,6,3,2,6,9,13
"4281","Mario & Luigi: Paper Jam","other","Nintendo","January","2016"," E",5.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,1,5,1,2,4,3,5,4
"4282","Mario & Luigi: Partners in Time","other","Nintendo","November","2005"," E",9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,11,6,15,12,11,6,18,20,37
"4283","Mario & Luigi: Superstar Saga","other","Nintendo","November","2003"," E",9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,9,3,6,8,4,5,11,10,19
"4284","Mario & Sonic at the London 2012 Olympic Games","SEGA","SEGA","November","2011"," E",7.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,4,3,3,3,2,9
"4285","Mario & Sonic at the Olympic Games","SEGA","SEGA","January","2008"," E",7.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,11,1,1,8,1,2,13,2,20
"4286","Mario & Sonic at the Olympic Winter Games","SEGA","SEGA","October","2009"," E",6.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,2,1,0,5,2,8
"4287","Mario & Sonic at the Sochi 2014 Olympic Winter Games","Nintendo","Nintendo","November","2013"," E",4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,1,0,2
"4288","Yoshi","Nintendo","Nintendo","June","1992"," E",5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,5,7,6,8,5,5,8,12,18
"4289","Mario + Rabbids Kingdom Battle","other","Nintendo","August","2017"," E10+",7.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,12,1,10,4,6,5,7,13,17
"4291","Mario Artist: Paint Studio","other","Nintendo","Japan","64DD",NA,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,2,0,5,2,12
"4292","Mario Artist: Talent Studio","Nintendo","Nintendo","Japan","64DD",NA,8.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,2,0,5,2,12
"4293","Mario Bros.","Atari Corp. (1984-2003)","Atari Corp. (1984-2003)","released",NA,NA,6,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,2,3,3,2,6,3,13
"4294","Mario Golf","other","Nintendo","July","1999"," E",8.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,1,3,0,2,4,2,6
"4295","Mario Golf World Tour","other","Nintendo","May","2014"," E",8.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,3,2,2,4,4,9
"4297","Mario Golf: Advance Tour","other","Nintendo","June","2004"," E",9.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,1,2,2,3,3,3,7
"4298","Mario Hoops 3-on-3","Square Enix","Nintendo","September","2006"," E",6.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,3,1,1,2,1,5
"4299","Mario Kart 64","Nintendo EAD","Nintendo","February","1997"," E",8.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,1,2,2,2,0,9,3,11
"4300","Mario Kart 7","Nintendo","Nintendo","December","2011"," E",9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,9,1,3,5,3,6,6,9,15
"4301","Mario Kart 8","Nintendo","Nintendo","May","2014"," E",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,7,3,5,8,7,6,13,11,27
"4302","Mario Kart 8 Deluxe","Nintendo","Nintendo","April","2017"," E",9.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,7,3,5,8,7,6,13,11,27
"4303","Mario Kart DS","Nintendo","Nintendo","November","2005"," E",9.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,4,0,1,1,1,2,2,5,6
"4304","Mario Kart Super Circuit","Intelligent Systems","Nintendo","August","2001"," E",9.5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1,1,1,2,1,3,4,8
"4305","Mario Kart Tour","Nintendo","Nintendo","September","2019"," RP",6.7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,1,1,1
"4306","Mario Kart Wii","Nintendo","Nintendo","April","2008"," E",8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,8,1,5,9,4,6,14,4,23
"4307","Mario Kart: Double Dash!!","Nintendo","Nintendo","November","2003"," E",7.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,6,0,1,4,0,4,6,4,8
"4308","Mario Party","Hudson Soft","Nintendo","February","1999"," E",7.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,1,2,2,2,3,2,8
"4309","Mario Party 10","Nintendo","Nintendo","March","2015"," E",6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,2,0,4,0,3,7,8
"4310","Mario Party 2","Hudson Soft","Nintendo","January","2000"," E",7.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,3,5,2,5,6,1,11,8
"4311","Mario Party 3","Hudson Soft","Nintendo","May","2001"," E",6.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,15,3,9,10,6,4,12,11,24
"4312","Mario Party 6","Hudson Soft","Nintendo","December","2004"," E",7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7,2,3,7,4,1,6,10,13
"4313","Mario Party 8","Hudson Soft","Nintendo","May","2007"," E",5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,2,1,5,5,6,12,15,23
"4314","Mario Party 9","other","Nintendo","March","2012"," E",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,2,0,0,3,4,4
"4316","Mario Party DS","Nintendo","Nintendo","November","2007"," E",7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,3,1,3,3,4
"4318","Mario Party: Star Rush","other","Nintendo","November","2016"," E",5.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,0,1,6,2,4,4,5,10
"4319","Mario Pinball Land","other","Nintendo","October","2004"," E",5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,4,3,3,3,5,9,11
"4320","Mario Power Tennis","other","Nintendo","November","2004"," E",8.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,0,2,2,6
"4321","Super Mario Strikers","other","Nintendo","December","2005"," E",7.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,0,2,3,2,1,9,2,13
"4322","Mario Sports Mix","Square Enix","Nintendo","February","2011"," E",6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,2,2,2,2,1,9
"4323","Mario Strikers Charged","other","Nintendo","July","2007"," E10+",8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,7,3,5,4,4,5,4,9,13
"4324","Mario Super Sluggers","Bandai Namco Games","Nintendo","August","2008"," E",7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,5,0,1,4,0,2,6,4,10
"4325","Mario Tennis","other","Nintendo","August","2000"," E",9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,4,3,3,2,2,2,5,4,9
"4330","Mario and Donkey Kong: Minis on the Move","Nintendo","Nintendo","May","2013"," RP",7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1
"4331","Mario vs. Donkey Kong","other","Nintendo","December","2011"," E",8.5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,2,2,2,1,2,3,4,11
"4332","Mario vs. Donkey Kong 2: March of the Minis","Nintendo","Nintendo","September","2006"," E",7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,3,3,9,3,1,3,6,16
"4334","Mario vs. Donkey Kong: Minis March Again!","Nintendo","Nintendo","June","2009"," E",8.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,3,1,2,0,3,5,4,7
"4335","Mario vs. Donkey Kong: Tipping Stars","Nintendo","Nintendo","March","2015"," E",6.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5,2,5
"4336","Mario's Picross","other","Nintendo","March","1995","E",8.5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,3,0,6,1,3,7,2,11
"4337","Mark of the Ninja","other","Microsoft Game Studios","September","2012"," M",9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,11,3,14,8,3,5,10,19,18
"4338","Mars: War Logs","other","Focus Home Interactive","April","2013"," RP-T+",5.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,3,6,2,2,0,2,7,4
"4339","Martian Gothic: Unification","other","other","May","2000"," M",7.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,11,9,8,12,6,12,7,14,23,20
"4342","Marvel Pinball","other","other","December","2010"," E",8,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,1,1,4,1,8
"4344","Marvel Puzzle Quest: Dark Reign","other","D3 Publisher","October","2013"," T",9.1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,15,7,12,12,8,7,16,14,39
"4345","Marvel Super Hero Squad","other","THQ","canceled",NA," RP",5.8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
"4347","Marvel Super Heroes vs. Street Fighter","Capcom","Capcom","December","1997",NA,7.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,7,1,4,7,2,3,7,10,12
"4348","Marvel Trading Card Game","other","Konami","June","2007"," T",6.8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,9,2,1,4,2,4,9,4,16
"4349","Marvel Ultimate Alliance 3: The Black Order","Team Ninja","Nintendo","July","2019"," T",7.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,11,10,20,12,10,6,21,28,31
"4351","Marvel vs Capcom Infinite","Capcom","Capcom","September","2017"," T",7.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,21,9,15,10,15,9,26,19,48
"4352","Marvel vs. Capcom 2: New Age of Heroes","Capcom Production Studio 1","Capcom","June","2000"," T",9.3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,7,0,3,2,1,3,5,9,16
"4353","Marvel vs. Capcom Origins","Capcom","Capcom","September","2012"," RP-T+",8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,3,5,2,9
"4354","Marvel vs. Capcom: Clash of Super Heroes","Capcom","Capcom","December","1998",NA,8.8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,7,3,9,4,6,5,11,15,12
"4364","Marvel: Ultimate Alliance","other","Activision","October","2006"," T",8.1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,10,8,18,7,6,6,12,19,30
"4365","Marvel: Ultimate Alliance 2","Vicarious Visions","Activision","September","2009"," T",7.7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6,3,7,3,3,3,16,7,18
"4368","Mary-Kate and Ashley's Magical Mystery Mall","n-Space","Acclaim Entertainment","October","2000"," E",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,4,1,4,0,3,6
"4372","Mass Effect","BioWare","Electronic Arts","December","2012"," M",9.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,2,5,3,2,5,3,10
"4373","Mass Effect 2","BioWare","Electronic Arts","January","2010"," M",9.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,19,3,15,9,7,5,24,18,40
"4376","Mass Effect 2: Lair of the Shadow Broker","BioWare","Electronic Arts","September","2010"," M",9.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,2,1,3,3,3
"4377","Mass Effect 3","BioWare","Electronic Arts","March","2012"," M",9.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,14,2,9,12,7,8,21,14,49
"4379","Mass Effect Infiltrator","other","Electronic Arts","March","2012",NA,6.5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,8,3,7,6,2,4,8,9,18
"4380","Mass Effect: Andromeda","BioWare","Electronic Arts","March","2017"," M",7.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,21,7,23,12,11,8,30,32,58
"4381","Massive Assault","other","other","October","2003"," T",8.4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,1,6,1,0,1,5,5,7
"4382","Massive Chalice","Double Fine Productions","other","June","2015"," T",6.7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,6,4,5,4,5,3,6,10,12
"4385","Master of Monsters: Disciples of Gaia","other","other","December","1998"," E",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,7,0,3,4,1,0,10,6,15
"4386","Master of Orion","other","other","August","2016",NA,7.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,12,4,9,5,5,3,14,16,22
"4387","Master of Orion III","other","Hasbro Interactive","February","2003"," T",9.2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,12,3,12,13,8,8,24,18,37
"4388","Mat Hoffman's Pro BMX","other","Activision","May","2001"," E",7.8,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,7,0,2,5,3,3,7,8,12
"4389","Mat Hoffman's Pro BMX 2","other","Activision","August","2002"," T",8.1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,6,0,5,4,4,4,7,7,12
"4390","Matchstick","other","DreamCatcher Interactive","December","2008"," E",4.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,0,4,1,1,1,4,5,7
"4392","Matt Hazard: Blood Bath and Beyond","other","D3 Publisher","January","2010"," M",7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,3,4,11,1,6,1,3,13,7
"4393","Matterfall","other","Sony Computer Entertainment","August","2017"," E10+",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,3,3,0,2,1,5,4
"4394","Max & the Magic Marker","other","other","February","2010"," E",7,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,1,2,1,2,0,2,3,5
"4396","Max Payne 3","other","Rockstar  Games","May","2012"," M",9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,7,3,9,5,8,3,6,13,17
"4397","Max Steel: Covert Missions","Torus Games","other","CANCELLED","to"," E",3.7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,3,4,4,5,1,5,10,14
"4398","Max: The Curse of Brotherhood","other","Microsoft Game Studios","May","2014"," E10+",6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,7,4,9,5,2,3,5,7,14
"4399","Maximo vs. Army of Zin","other","Capcom","N",NA," T",8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,4,5,8,2,6,2,5,12,6
"4400","Maximo: Ghosts to Glory","other","Capcom","February","2002"," T",9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,9,4,6,4,5,5,8,9,14
"4401","Maximum Force","other","Midway  Games","November","1997"," M",5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,2,9,1,5,3,1,9,3
"4403","The Bee Game","other","Midway  Games","October","2007"," E",6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,5,0,4,6,4,4,9,2,18
