"","game_name","developer","publisher","Month","Year","age_rating","game_rating","Dreamcast","Wireless","Saturn","Android","iPad","iPhone","Arcade","GameCube","Genesis","Macintosh","PC","Nintendo","GameBoy","NES","PlayStation","Xbox","Wii","otherPlatform","Flight","Music","Simulation","Fighting","Platformer","Puzzle","Strategy","Adventure","RPG","Racing","Shooter","Sports","Action","otherGenre"
"101","After Burner Climax","SEGA","SEGA","April","2010"," E10+","7.5","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"102","SEGA Ages: After Burner II","SEGA","SEGA","September","1996","E","5","0","1","1","0","0","0","0","0","1","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","1","0"
"103","After Burner: Black Falcon","Planet Moon Studios","SEGA","March","2007"," T","7.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"104","Afterfall: Insanity","Intoxicate","NEG","N",NA,NA,"4.5","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"105","Agatha Christie: And Then There Were None","AWE Games","The Adventure Company","October","2005"," T","7","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"106","Agatha Christie: Death on the Nile","AWE Games","The Adventure Company","October","2008"," T","5.3","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"107","Agatha Christie: Evil Under the Sun","AWE Games","The Adventure Company","October","2007"," T","6","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"108","Age of Booty","Certain Affinity","Capcom","October","2008"," E","7.8","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"109","Age of Conan: Hyborian Adventures","Funcom","Funcom","May","2008"," M","7.8","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"110","Age of Conan: Rise of the Godslayer","Funcom","Funcom","May","2010"," M","7.9","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"111","Age of Empires","Ensemble Studios","Microsoft","October","1997"," T","7","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"112","Age of Empires II: The Age of Kings","Ensemble Studios","Microsoft","October","1999"," T","8.8","1","1","0","0","0","0","0","0","0","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"113","Age of Empires II: The Conquerors","Ensemble Studios","Microsoft","August","2000"," T","8.2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"114","Age of Empires III: The Asian Dynasties","Big Huge Games [2000-2012]","Microsoft","October","2007"," T","8","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"115","Age of Empires III: The WarChiefs","Ensemble Studios","Microsoft","October","2006"," T","8.2","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"116","Age of Empires Online","Robot Entertainment","Microsoft","August","2011"," E10+","7","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"117","Age of Empires: Mythologies","Griptonite Games","THQ","November","2008"," E10+","8.6","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"118","Age of Mythology","Ensemble Studios","Microsoft","October","2002"," T","9.3","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"119","Age of Mythology: The Titans","Ensemble Studios","Microsoft","September","2003"," T","8.9","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"120","Age of Pirates 2: City of Abandoned Ships","Akella","Playlogic","May","2009"," M","5.7","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"121","Age of Pirates: Caribbean Tales","Akella","Playlogic","September","2006"," T","7.9","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"122","Age of Sail II","Akella","TalonSoft","January","2001"," E","7.8","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0"
"123","Age of Wonders","Epic Games","Gathering of Developers (aka GOD Games)","October","1999"," E","8.8","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"124","Age of Wonders II: The Wizard's Throne","Epic Games","Gathering of Developers (aka GOD Games)","June","2002"," T","8.5","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"125","Age of Wonders III","Triumph Studios","Triumph Studios","March","2014"," T","7.1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
