,game_name,url
127,Age of Zombies,https://en.wikipedia.org/wiki/Halfbrick_Studios
128,Interpol: The Trail of Dr. Chaos,https://en.wikipedia.org/wiki/Interpol:_The_Trail_of_Dr._Chaos
129,Agents of Mayhem,https://en.wikipedia.org/wiki/Agents_of_Mayhem
130,Aggressive Inline,https://en.wikipedia.org/wiki/Aggressive_inline_skating
131,Agile Warrior F-111X,https://en.wikipedia.org/wiki/Agile_Warrior_F-111X
132,Agony,https://en.wikipedia.org/wiki/Agony
133,Aha! I Found it! Hidden Object Game,NA
134,Aidyn Chronicles: The First Mage,https://en.wikipedia.org/wiki/Aidyn_Chronicles:_The_First_Mage
135,Aion,https://en.wikipedia.org/wiki/Aion
136,Air Combat,https://en.wikipedia.org/wiki/Air_Combat
137,Air Command 3.0,NA
138,Air Conflicts: Secret Wars,https://en.wikipedia.org/wiki/Air_Conflicts:_Secret_Wars
139,Air Conflicts: Vietnam,https://en.wikipedia.org/wiki/Air_Conflicts:_Vietnam
140,Air Zonk,https://en.wikipedia.org/wiki/Air_Zonk
141,AirBlade,https://en.wikipedia.org/wiki/AirBlade
142,AirForce Delta,NA
143,AirMech,https://en.wikipedia.org/wiki/AirMech
144,Airborne Troops: Countdown to D-Day,NA
145,Airfix Dogfighter,https://en.wikipedia.org/wiki/Airfix_Dogfighter
146,Airline Tycoon,https://en.wikipedia.org/wiki/Airline_Tycoon
147,Airport Tycoon,https://en.wikipedia.org/wiki/Airport_Tycoon
148,Akai Katana,https://en.wikipedia.org/wiki/Akai_Katana
149,Akuji The Heartless,NA
150,Akuma: Demon Spawn,NA
151,Aladdin,https://en.wikipedia.org/wiki/Aladdin
152,Aladdin [GB],NA
153,Aladdin [Genesis],NA
154,Aladdin in Nasira's Revenge,https://en.wikipedia.org/wiki/Disney%27s_Aladdin_in_Nasira%27s_Revenge
155,Alan Wake,https://en.wikipedia.org/wiki/Alan_Wake
156,Alan Wake's American Nightmare,https://en.wikipedia.org/wiki/Alan_Wake%27s_American_Nightmare
157,Alan Wake: The Signal,NA
158,Alan Wake: The Writer,NA
159,Albert Odyssey: Legend of Eldean,https://en.wikipedia.org/wiki/Albert_Odyssey:_Legend_of_Eldean
160,Alekhine's Gun,https://en.wikipedia.org/wiki/Alekhine%27s_gun
161,Power Strike,https://en.wikipedia.org/wiki/Power_Strike
162,Alex Kidd in Miracle World,https://en.wikipedia.org/wiki/Alex_Kidd_in_Miracle_World
163,Alex Kidd in the Enchanted Castle,https://en.wikipedia.org/wiki/Alex_Kidd_in_the_Enchanted_Castle
164,Alex Kidd: The Lost Stars,https://en.wikipedia.org/wiki/Alex_Kidd:_The_Lost_Stars
165,Alex Rider: Stormbreaker,https://en.wikipedia.org/wiki/Alex_Rider:_Stormbreaker
166,Alexi Lalas International Soccer,https://en.wikipedia.org/wiki/Three_Lions_(video_game)
167,Alfa Romeo Racing Italiano,https://en.wikipedia.org/wiki/Alfa_Romeo_Racing_Italiano
168,Alfred Hitchcock Presents: The Final Cut,https://en.wikipedia.org/wiki/Alfred_Hitchcock_Presents:_The_Final_Cut
169,Alias,https://en.wikipedia.org/wiki/Alias
170,Alice in Wonderland [2000],NA
171,Alice in Wonderland: The Movie,NA
172,Alice: Madness Returns,https://en.wikipedia.org/wiki/Alice:_Madness_Returns
173,Alien Breed 3: Descent,https://en.wikipedia.org/wiki/Alien_Breed_3:_Descent
174,Alien Breed Impact,NA
175,Alien Crush,https://en.wikipedia.org/wiki/Alien_Crush
176,Alien Crush Returns,https://en.wikipedia.org/wiki/Alien_Crush_Returns
177,Alien Havoc,NA
178,Alien Hominid,https://en.wikipedia.org/wiki/Alien_Hominid
179,Alien Rage,https://en.wikipedia.org/wiki/Alien_Rage
180,Alien Resurrection,https://en.wikipedia.org/wiki/Alien_Resurrection
181,Alien Shooter: Vengeance,https://en.wikipedia.org/wiki/Alien_Shooter:_Vengeance
182,Alien Soldier [1995],NA
183,Alien Storm,https://en.wikipedia.org/wiki/Alien_Storm
184,Alien Syndrome,https://en.wikipedia.org/wiki/Alien_Syndrome
185,Alien Trilogy,https://en.wikipedia.org/wiki/Alien_Trilogy
186,Alien Zombie Death,NA
187,Alien Zombie Megadeath,https://en.wikipedia.org/wiki/Alien_Zombie_Megadeath
188,Alien: Isolation,https://en.wikipedia.org/wiki/Alien:_Isolation
189,Alienation,https://en.wikipedia.org/wiki/Alienation
190,Aliens vs. Predator,https://en.wikipedia.org/wiki/Alien_vs._Predator_(franchise)
191,Aliens vs. Predator [1999],NA
192,Aliens vs. Predator 2,https://en.wikipedia.org/wiki/Aliens_versus_Predator_2
193,Aliens vs. Predator: Requiem,https://en.wikipedia.org/wiki/Aliens_vs._Predator:_Requiem
194,Aliens: Colonial Marines,https://en.wikipedia.org/wiki/Aliens:_Colonial_Marines
195,Aliens: Infestation,https://en.wikipedia.org/wiki/Aliens_Infestation
196,All Star Tennis '99,https://en.wikipedia.org/wiki/All_Star_Tennis_%2799
197,All-Star Baseball '97 Featuring Frank Thomas,https://en.wikipedia.org/wiki/All-Star_Baseball_%2797_featuring_Frank_Thomas
198,All-Star Baseball '99,https://en.wikipedia.org/wiki/All-Star_Baseball_%2799
199,All-Star Baseball 2000,https://en.wikipedia.org/wiki/All-Star_Baseball_2000
200,All-Star Baseball 2001,https://en.wikipedia.org/wiki/All-Star_Baseball
201,All-Star Baseball 2002,https://en.wikipedia.org/wiki/All-Star_Baseball
202,All-Star Baseball 2003,https://en.wikipedia.org/wiki/All-Star_Baseball
203,Allegiance,https://en.wikipedia.org/wiki/Allegiance
204,Alleyway,https://en.wikipedia.org/wiki/Alley
205,Alone in the Dark: Inferno,https://en.wikipedia.org/wiki/Alone_in_the_Dark_(2008_video_game)
206,Alone In The Dark 2,NA
207,Alone in the Dark: The New Nightmare,https://en.wikipedia.org/wiki/Alone_in_the_Dark:_The_New_Nightmare
208,Alpha Protocol,https://en.wikipedia.org/wiki/Alpha_Protocol
209,Alpha Wing 2,NA
210,Alter Echo,https://en.wikipedia.org/wiki/Alter_Echo
211,Altered Beast,https://en.wikipedia.org/wiki/Altered_Beast
212,Alundra 2,https://en.wikipedia.org/wiki/Alundra_2
213,Alvin and the Chipmunks,https://en.wikipedia.org/wiki/Alvin_and_the_Chipmunks
214,Amazing Adventures: The Forgotten Ruins,NA
215,Amazons & Aliens,NA
216,America,https://en.wikipedia.org/wiki/United_States
217,Fugitive Hunter: War on Terror,https://en.wikipedia.org/wiki/America%27s_10_Most_Wanted
218,America's Army: Rise of a Soldier,https://en.wikipedia.org/wiki/America%27s_Army:_Rise_of_a_Soldier
219,American Chopper 2: Full Throttle,https://en.wikipedia.org/wiki/American_Chopper
220,American Dragon: Jake Long -- Attack of the Dark Dragon,NA
221,American Dragon: Jake Long -- Rise of the Huntsclan,NA
222,American McGee Presents Scrapland,NA
223,American McGee's Alice,https://en.wikipedia.org/wiki/American_McGee%27s_Alice
224,Amerzone: The Explorer's Legacy,https://en.wikipedia.org/wiki/Amerzone
225,Amnesia: A Machine for Pigs,https://en.wikipedia.org/wiki/Amnesia:_A_Machine_for_Pigs
226,Amnesia: The Dark Descent,https://en.wikipedia.org/wiki/Amnesia:_The_Dark_Descent
227,Amok,https://en.wikipedia.org/wiki/Running_amok
228,Among the Sleep,https://en.wikipedia.org/wiki/Among_the_Sleep
229,Amplitude,https://en.wikipedia.org/wiki/Amplitude
230,Amy,https://en.wikipedia.org/wiki/Amy
231,Anachronox,https://en.wikipedia.org/wiki/Anachronox
232,Analogue Super Nt,https://en.wikipedia.org/wiki/Super_Nt
233,Anarchy Reigns,https://en.wikipedia.org/wiki/Anarchy_Reigns
234,Anarchy in the Nippon,NA
235,Anarchy: Rush Hour,NA
236,Ancestors Legacy,https://en.wikipedia.org/wiki/Ancestors_Legacy
237,Ancestors: The Humankind Odyssey,https://en.wikipedia.org/wiki/Ancestors:_The_Humankind_Odyssey
238,Ancient Empires II,https://en.wikipedia.org/wiki/Ancient_Empires_(mobile_game)
239,Ancient Land of Ys,https://en.wikipedia.org/wiki/Ys_I:_Ancient_Ys_Vanished
240,Ancient Quest of Saqqarah,NA
241,Ancient Space,NA
242,Ancient Wars: Sparta,https://en.wikipedia.org/wiki/Ancient_Wars:_Sparta
243,And Yet It Moves,https://en.wikipedia.org/wiki/And_Yet_It_Moves
244,Andretti Racing,https://en.wikipedia.org/wiki/Andretti_Racing
245,Angry Birds,https://en.wikipedia.org/wiki/Angry_Birds
246,Angry Birds 2,https://en.wikipedia.org/wiki/Angry_Birds_2
247,Angry Birds Go!,https://en.wikipedia.org/wiki/Angry_Birds_Go!
248,Angry Birds Rio,https://en.wikipedia.org/wiki/Angry_Birds_Rio
249,Angry Birds Star Wars,https://en.wikipedia.org/wiki/Angry_Birds_Star_Wars
250,Angry Birds Star Wars II,https://en.wikipedia.org/wiki/Angry_Birds_Star_Wars_II
251,Angry Birds Trilogy,https://en.wikipedia.org/wiki/Angry_Birds_Trilogy
252,Anima: Ark of Sinners,https://en.wikipedia.org/wiki/Anima_(role-playing_game)
253,Animal Boxing,https://en.wikipedia.org/wiki/Animal_Boxing
254,Animal Color Cross,NA
255,Animal Crossing,https://en.wikipedia.org/wiki/Animal_Crossing
256,Animal Crossing Clock,https://en.wikipedia.org/wiki/Animal_Crossing
257,Animal Crossing: Amiibo Festival,https://en.wikipedia.org/wiki/Animal_Crossing:_Amiibo_Festival
258,Animal Crossing: Happy Home Designer,https://en.wikipedia.org/wiki/Animal_Crossing:_Happy_Home_Designer
259,Animal Crossing: City Folk,https://en.wikipedia.org/wiki/Animal_Crossing:_City_Folk
260,Animal Crossing: New Leaf,https://en.wikipedia.org/wiki/Animal_Crossing:_New_Leaf
261,Animal Crossing: Pocket Camp,https://en.wikipedia.org/wiki/Animal_Crossing:_Pocket_Camp
262,Animal Crossing: Wild World,https://en.wikipedia.org/wiki/Animal_Crossing:_Wild_World
263,Animal Paradise,https://en.wikipedia.org/wiki/Animal_Paradise
264,Animaniacs Splat Ball,NA
265,Animaniacs Ten Pin Alley,NA
266,Animaniacs: A Gigantic Adventure,https://en.wikipedia.org/wiki/Animaniacs:_A_Gigantic_Adventure
267,Animastar,NA
268,Animorphs: Know the Secret,https://en.wikipedia.org/wiki/Animorphs:_Know_the_Secret
269,Animorphs: Shattered Reality,https://en.wikipedia.org/wiki/Animorphs:_Shattered_Reality
270,Anna,https://en.wikipedia.org/wiki/Anna
271,Dawn of Discovery,https://en.wikipedia.org/wiki/Dawn_of_Discovery
272,Dawn of Discovery: Venice,NA
